,Original Sum,Predicted Sum,Precision,Recall,F_Score,RUNTIME/sec,EMBEDDING_DIM,HIDDEN_SIZE,ATTENTION_SIZE,KEEP_PROB,BATCH_SIZE,EPOCHS,DELTA,LEARNING_RATE,ALPHA_DIVIDER
10,"['president', 'bush', 'address', 'veterans', 'foreign', 'wars', 'wednesday', 'bush', 'say', 'withdrawing', 'vietnam', 'emboldened', 'todays', 'terrorists', 'speech', 'will', 'latest', 'white', 'house', 'attempt', 'try', 'reframe', 'debate', 'iraq']","['report', 'of', 'american', 'leaders', 'problem', 'and', 'would', 'according', 'top', 'released', 'is', 'one', 'mayor', 'boat', 'fields', 'from', 'they', 'here', 'democratic', 'said', 'iraq', 'leading', 'strategy', 'political', 'direction', 'gen', 'ryan', 'judgment', 'until', 'comes', 'wait', 'drawdown', 'petraeus', 'defeat', 'korean', '1950s', 'japans', 'critics', 'today', 'note', 'now']",0.024390243902439025,0.041666666666666664,0.030770184189419625,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
11,"['two', 'cars', 'loaded', 'gasoline', 'nails', 'found', 'abandoned', 'london', 'friday', '52', 'people', 'killed', 'july', '7', '2005', 'bombs', 'exploded', 'london', 'bus', 'trains', 'british', 'capital', 'wracked', 'violence', 'ira', 'years']","['of', 'and', '1970s', 'streets', 'haymarket', 'gas', 'second', 'wardens', 'early', 'july', 'weeks', '77', 'network', 'rucksack', '7', 'more', 'al', 'responsibility', 'video', '2004', 'center', 'convicted', 'in', 'may', 'march', 'explodes', 'wounding', 'one', 'opposed', 'iras', 'fire', 'dozens', '1996', 'cease', 'killed', 'mortar', 'prime', 'minister', '22', 'marine', 'town', '259', 'about', '1984', 'hotel', 'where', '15-10', 'conference', 'wound', 'carrying', 'is', 'email']",0.038461538461538464,0.07692307692307693,0.05128300683764536,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
12,"['werder', 'bremen', 'pay', 'club', 'record', '107', 'million', 'carlos', 'alberto', 'brazilian', 'midfielder', 'champions', 'league', 'fc', 'porto', '2004', 'since', 'january', 'loan', 'first', 'club', 'fluminense']","['alberto', 'in', 'fc', 'portos', 'champions', 'league', '2004', 'record', 'fee', 'of', 'euros', '107', 'porto', 'im', 'here', 'titles', 'said', 'his', 'training', 'and', 'would', 'wanted', 'started', 'career', 'them', 'lift', '2002', 'january', 'he', 'on', 'were', 'josé', 'won', 'early', '2005', 'corinthians', 'where', 'they', '2006', 'found', 'himself', 'odds', 'emerson', 'climax', 'copa', 'atlético', 'not', 'again', 'since', 'been', 'agreement', 'zaragoza', 'top', 'brazilian', 'played', 'from', '2001', 'was', 'expected', 'returned', 'signing', 'deal', 'duisburg', 'email', 'friend']",0.07692307692307693,0.22727272727272727,0.11494349094993978,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
13,"['president', 'bush', 'will', 'routine', 'colonoscopy', 'saturday', 'anesthetized', 'powers', 'will', 'transferred', 'vice', 'president', 'bush', 'last', 'colonoscopy', '2002', 'found', 'problems']","['cnn', 'kingdom', 'cheney', 'will', 'acting', 'briefly', 'saturday', 'bush', 'is', 'colonoscopy', 'spokesman', 'said', 'the', 'medical', 'procedure', 'expected', 'take', 'about', '2', 'presidential', 'retreat', 'last', 'was', 'in', '2002', 'and', 'were', 'found', 'presidents', 'years', 'be', 'tubb', 'team', 'from', 'national', 'naval', 'center', 'bethesda', 'test', 'cancer', 'small', 'of', 'can', 'cancerous', 'according', 'may', 'case', 'when', 'colonoscopies', 'becoming', 'president', 'himself', 'chemotherapy', 'his', 'spread', 'liver', 'told', 'later', 'seen', 'wants', 'everybody', 'use', 'surveillance', 'american', 'recommends', 'highrisk', 'factors', 'getting', 'signs', 'colorectal', 'email', 'friend']",0.08333333333333333,0.3333333333333333,0.133334301333341,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
14,"['2000', 'customers', 'without', 'electricity', 'power', 'company', 'says', 'magnitude', '42', 'quake', 'set', 'home', 'alarms', 'says', 'oakland', 'police', 'dispatcher', 'fairly', 'mild', 'police', 'say', 'immediate', 'reports', 'injuries', 'damage', 'centered', 'two', 'miles', 'eastnortheast', 'oakland', '36', 'miles', 'deep']","['san', 'california', 'cnn', 'magnitude', '42', 'earthquake', 'area', 'mayor', 'am', 'pt', '742', 'et', 'us', 'of', 'survey', 'reported', 'quake', 'left', 'about', '2000', 'customers', 'said', 'eisenhower', 'spokesman', 'gas', 'and', 'light', 'classification', 'is', 'which', 'usually', 'causes', 'spike', 'in', 'calls', 'top', 'none', 'injury', 'was', 'capt', 'al', 'casciato', 'immediately', 'seen', 'centered', '36', 'the', 'across', 'dispatcher', 'told', 'set', 'homes', 'lasted', 'seconds', 'chad', 'myers', 'according', 'quakes', 'felt', 'may', 'break', 'dishes', 'overturn', 'unstable', 'objects', 'clocks', 'stop', 'email', 'friend']",0.07246376811594203,0.15151515151515152,0.09804017191466774,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
15,"['new', 'president', 'bush', 'says', 'first', 'lady', 'deeply', 'saddened', 'tragedy', 'mine', 'safety', 'health', 'administration', 'chief', 'students', 'run', 'options', 'six', 'men', 'trapped', 'underground', 'since', 'august', '6', 'seven', 'bore', 'holes', 'fox', 'mountain', 'found', 'signs', 'life']","['is', 'of', 'federal', 'said', 'and', 'all', 'reach', 'failed', 'efforts', 'last', 'continue', 'heartbreaking', 'toll', 'community', 'run', 'conference', 'consulted', 'weeks', 'everything', 'largely', 'one', 'they', 'done', 'according', 'salt', '3-year', 'them', 'killed', 'working', 'would', 'signs', 'wanted', 'send', 'top', 'problems', 'camera', 'resumed', 'descend', 'bit', 'many', 'h.', 'permanently', 'hernandez']",0.046511627906976744,0.0625,0.05333428440893377,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
16,"['bomb', 'victims', 'waiting', 'presidential', 'visit', 'blast', 'went', '15', 'minutes', 'presidents', 'arrival', 'algeria', 'faces', 'islamic', 'insurgency', 'july', 'group', 'claimed', 'july', 'attacks']","['people', 'were', 'killed', 'and', '60', 'others', 'when', 'ripped', 'crowd', 'waiting', 'see', 'algerias', 'in', 'batna', 'of', 'capital', 'reported', 'first', 'aid', 'algeria', 'explosion', 'about', 'from', 'town', 'kilometers', '280', 'security', 'officials', 'told', 'news', 'agency', 'minutes', 'the', 'expected', 'president', 'was', 'bomber', 'said', 'minister', 'because', 'yazid', 'go', 'cordon', 'but', 'escaped', 'immediately', 'exploded', 'press', 'his', 'he', 'returned', 'there', 'responsibility', 'insurgency', 'according', 'july', 'claimed', 'al', 'group', 'nothing', 'common', 'noble', 'values', 'email', 'clavecin', '100,000', 'contributed', 'this', 'report']",0.07246376811594203,0.25,0.11236051571772322,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
17,"['beckham', 'agreed', 'hefty', 'contract', 'los', 'angeles', 'galaxy', 'new', 'contract', 'took', 'effect', 'july', '1', '2007', 'former', 'english', 'captain', 'meet', 'press', 'unveil', 'new', 'shirt', 'number', 'friday', 'cnn', 'look', 'beckham', 'footballer', 'jones', 'icon', 'global', 'phenomenon']","['football', 'heartthrob', 'now', 'is', 'hills', 'takes', 'us', 'league', 'soccer', 'his', 'dream', 'of', 'and', 'begun', 'contract', 'los', 'will', 'shirt', 'clavecin', 'from', 'streets', 'stardom', 'in', 'way', 'exactly', 'look', 'wonderfully', 'scoring', 'sent', 'depot', 'ask', 'see', 'celebrity', 'teamed', 'commercial', 'face', 'playstation', 'computerized', 'couple', 'accepted', 'tinseltowns', 'altitudes', 'these', 'rare', 'glimpse', 'inside', 'kids', 'perception', 'years', 'traditional', 'email']",0.0784313725490196,0.125,0.09638649478881701,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
18,"['colony', 'collapse', 'disorder', 'killed', 'millions', 'bees', 'scientists', 'suspect', 'virus', 'may', 'combine', 'factors', 'collapse', 'colonies', 'disorder', 'first', 'cropped', '2004', 'bees', 'imported', 'australia', '15', 'billion', 'crops', 'year', 'dependent', 'bees', 'pollination']","['virus', 'healthy', 'may', 'of', 'disorder', 'killed', 'us', 'largely', 'upon', 'and', 'agriculture', 'worth', 'signs', '2004', 'american', 'arrested', 'left', 'plenty', 'food', 'because', 'resistant', 'from', 'released', 'top', 'likely', 'is', 'said', 'involved', 'explain', 'all', 'sydney', 'effects', 'mites', 'affect', 'delaplane', 'warning', 'one', 'problem', 'now', 'ascertain', 'whether', 'concert', 'director', 'center', 'columbia', 'email']",0.08695652173913043,0.14285714285714285,0.10810906106649235,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
19,"['savers', 'leading', 'uk', 'mortgage', 'bank', 'lined', 'empty', 'accounts', 'northern', 'rock', 'bailed', 'bank', 'england', 'day', 'earlier', 'reassurances', 'banks', 'safe', 'gone', 'unheeded', 'many']","['leading', 'mortgage', 'bank', 'lined', 'second', 'empty', 'was', 'out', 'of', 'slashing', 'profit', 'customers', 'from', 'rock', 'in', 'long', 'formed', 'opened', 'building', 'one', 'uks', 'top', 'worried', 'the', 'and', 'already', 'withdrawn', 'about', '2', 'since', 'banks', 'were', 'speculation', 'credit', 'crunch', 'raising', 'funds', 'commercial', 'up', '30', 'percent', 'problems', 'european', 'banking', 'bankers', 'according', 'press', 'said', 'is', 'sound', 'there', 'absolutely', 'reason', 'either', 'meanwhile', 'minister', 'alistair', 'create', 'he', 'can', 'use', 'way', 'they', 'payments', 'will', 'chief', 'draw', 'called', 'backdrop', 'case', 'email', 'friend']",0.09722222222222222,0.3333333333333333,0.15053859944503067,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
20,"['bail', 'exnfl', 'star', 'accused', 'directing', 'men', 'alleged', 'armed', 'robbery', 'simpson', 'faces', 'charges', 'robbery', 'assault', 'burglary', 'conspiracy', 'alleged', 'robbery', 'involved', 'mahd', 'items', 'police', 'say', 'simpson', 'arrested', 'sunday', 'las', 'vegas', 'says', 'items']","['and', 'assault', 'released', 'of', 'hotel', 'said', 'they', 'leading', 'carrying', 'casino', 'involved', 'handcuffs', 'bruce', 'described', 'walter', 'arrested', 'conspiracy', 'early', 'accompanied', 'is', 'brandished', 'one', 'would', 'weapons', 'initial', 'report', 'may', 'been', 'offduty', 'truth', 'result', 'mr', 'signature', 'deaths', 'trial', 'jury', 'los', 'wrong', 'hes', 'recently', 'titled']",0.07317073170731707,0.1,0.084507993453708,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
21,"['anthony', 'ogadje', '25', 'reportedly', 'germany', 'shere', 'hills', 'lake', 'preparing', 'show', 'gulder', 'ultimate', 'search', 'dutch', 'would', 'heinekens', 'local', 'unit', 'sponsors', 'program']","['nigeria', 'beirut', 'show', 'been', 'in', 'preparation', 'program', 'said', 'dutch', 'would', 'heinekens', 'unit', 'which', 'is', 'anthony', 'ogadje', 'and', 'nine', 'other', 'contestants', 'hills', 'hilly', 'plateau', 'state', 'prepare', 'sets', 'of', 'physical', 'challenges', 'from', 'nigerian', 'died', 'was', 'have', 'all', 'attempts', 'attendant', 'his', 'failed', 'giant', 'broadcasting', 'weakest', 'one', 'until', 'winner', 'emerges', 'the', 'money', 'big', 'where', 'people', 'live', 'wealth', 'get', 'about', 'trumpets', 'drive', '1,500', 'buy', 'could', 'expected', 'celebrity', 'deals', 'started', '2004', 'email', 'rights', 'material', 'may', 'not', 'be', 'broadcast', 'rewritten', 'later']",0.06756756756756757,0.25,0.10638394522409386,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
22,"['new', 'indictment', 'man', 'tried', 'pass', 'nuclear', 'filters', 'foreign', 'agent', 'new', 'roy', 'lynn', 'oakley', 'appears', 'court', 'tennessee', 'surrendering', 'new', 'compete', 'role', 'break', 'decommissioned', 'equipment', 'new', 'lawyer', 'oakleys', 'job', 'break', 'machine', 'parts', 'pieces', 'pitch']","['of', 'and', 'sources', 'from', '67', 'briefly', 'said', 'is', 'top', 'gaseous', 'would', 'utilized', '2006', 'involved', 'may', 'break', 'away', 'security', 'appliance', 'cooperated', 'upon', 'equipment', 'pursuing', 'wrong', 'national', 'one', 'they', 'filter', 'according', 'described', 'decontaminating', 'abuse', 'individual', 'clavecin', 'report']",0.05714285714285714,0.0625,0.05970244263760018,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
23,"['chelsea', 'still', 'waiting', 'fitness', 'england', 'captain', 'john', 'terry', 'terry', 'trained', 'face', 'mask', 'ahead', 'champions', 'league', 'tie', 'valencia', 'central', 'defender', 'underwent', 'surgery', 'broken', 'cheekbone', 'sunday']","['london', 'chelsea', 'waiting', 'on', 'the', 'of', 'john', 'ahead', 'wednesdays', 'champions', 'league', 'match', 'valencia', 'but', 'frank', 'kingdom', 'been', 'ruled', 'out', 'terry', 'tries', 'his', 'mask', 'training', 'tuesday', 'centerback', 'suffered', 'broken', 'saturdays', 'draw', 'and', 'will', 'see', 'how', 'he', 'decision', 'availability', 'valencias', 'mestalla', 'stadium', 'face', 'wants', 'which', 'is', 'now', 'wait', 'then', 'speak', 'medical', 'said', 'grant', 'confirmed', 'definitely', 'sit', 'midfielder', 'continues', 'recover', 'from', 'thigh', 'michael', 'essien', 'winner', 'last', 'seasons', 'battling', 'leg', 'injury', 'took', 'part', 'in', 'expected', 'email', 'friend']",0.1095890410958904,0.3333333333333333,0.1649494163673163,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
24,"['organ', 'shortage', 'rich', 'states', 'created', 'trade', 'poorer', 'countries', 'transplant', 'tourists', 'travel', 'poor', 'countries', 'buy', 'organs', 'desperate', 'pakistan', 'trade', 'human', 'organs', 'legal', 'turning', 'kidney', 'bazaar', 'patients', 'pay', '8500', 'new', 'kidney', 'donors', 'paid', 'just', '300', '1000']","['hong', 'paul', 'one', 'of', 'and', 'arrested', 'mayor', 'they', 'illnesses', 'chinas', 'laws', 'recipient', 'top', 'said', 'selling', 'money', 'usually', 'years', 'leaders', 'security', '11600', 'hes', 'done', 'would', 'got', 'rewritten', 'later']",0.0,0.0,1e-06,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
25,"['troubles', 'lindsay', 'lohan', 'likely', 'difficult', 'insure', 'lohan', 'supposed', 'appear', 'shirley', 'maclaine', 'film', 'poor', 'things', 'insurance', 'rates', 'may', 'cost', '1', '3', 'percent', 'films', 'production', 'budget']","['los', 'isnt', 'shakespeare', 'troubles', 'may', 'problems', 'whether', 'future', 'movies', 'uninsurable', 'security', 'done', 'carrier', 'of', 'said', 'and', 'wondering', 'fame', 'is', 'expected', 'early', 'already', 'will', 'they', 'troubled', 'telephone', 'fund', 'leading', 'covering', 'would', 'likely', 'deductibles', 'dollars', 'brian', 'director', 'calculation', 'can', 'from', '100', 'certain', 'getting', 'insurance', 'samples', 'abuse', 'set', 'creating', 'revoked', 'break', 'email', 'all', 'rights', 'material', 'rewritten', 'later']",0.05555555555555555,0.125,0.07692403431955022,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
26,"['francesco', 'totti', 'threatens', 'quit', 'italian', 'players', 'association', 'italy', 'roma', 'striker', 'upset', 'early', 'start', 'new', 'season', 'says', 'principal', 'never', 'listened']","['rome', 'italy', 'and', 'francesco', 'totti', 'quit', 'italian', 'players', 'in', 'starting', 'date', 'of', 'season', 'striker', 'never', 'listened', 'row', 'last', 'when', 'football', 'league', 'which', 'is', 'run', 'presidents', 'clubs', 'top', 'divisions', 'voted', 'so', 'they', 'roberto', 'donadoni', 'first', 'midway', 'his', 'matchfitness', 'ahead', '2008', 'qualifiers', 'ukraine', 'early', 'im', 'the', 'principal', 'but', 'people', 'was', 'magazine', 'this', 'must', 'our', 'wanted', 'start', 'extra', 'weeks', 'rest', 'christmas', 'national', 'team', 'big', 'decided', 'all', 'about', 'needs', 'one', 'major', 'european', 'opening', 'english', 'will', '4', 'email', 'friend']",0.10810810810810811,0.42105263157894735,0.17204397824026516,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
27,"['two', 'employees', 'bought', 'sold', 'weapons', 'company', 'says', 'company', 'fired', 'workers', 'turned', 'atf', 'says', 'source', 'feds', 'investigating', 'claims', 'blackwater', 'employees', 'made', 'illegal', 'arms', 'deals', 'blackwater', 'spotlight', 'shootings', 'last', 'weekend', 'killed', '20', 'iraqis']","['allegations', 'shot', 'was', 'way', 'in', 'unlawful', 'baseless', 'company', 'patrol', '2005', 'federal', 'of', 'weapons', 'and', 'them', 'iraq', 'according', 'us', 'sources', 'said', 'office', 'north', 'is', 'early', 'focuses', 'individual', 'not', 'which', 'based', 'security', 'guard', 'improperly', 'internally', 'stealing', 'from', 'immediately', 'atf', 'conduct', 'report', 'been', 'cooperating', 'probe', 'one', 'my', 'investigators', 'available', 'resumed', 'hiatus', 'lethal', 'last', 'were', 'email', 'clavecin', 'contributed']",0.05555555555555555,0.0967741935483871,0.07058918895504772,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
28,"['boy', 'meeting', 'violation', 'favorite', 'thing', 'youssif', 'also', 'met', 'spongebob', 'africa', 'orangutan', 'universal', 'studios', 'dad', 'wedding', 'day', 'happiest', 'day', 'life']","['los', 'said', 'paul', 'of', 'legendary', 'and', 'from', 'his', 'got', 'spongebob', 'hairy', 'would', 'inside', 'top', 'one', 'fire', 'ask', 'they', 'set', 'sought', 'across', 'sister', 'killed', 'described', 'jeans', 'couple', 'security', 'zainabs', 'others', 'knows', 'elaborated', 'dream', 'maybe', 'clavecin', 'report']",0.02857142857142857,0.05263157894736842,0.037037991426667964,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
29,"['cpl', 'africa', 'thomas', 'found', 'guilty', 'week', 'conspiracy', 'commit', 'murder', 'marine', 'gets', 'rank', 'private', 'will', 'discharged', 'role', 'death', 'iraqi', 'civilian', 'groups', 'leader', 'welcome', 'trial', 'murder', 'conspiracy', 'charges']","['marine', 'convicted', 'his', 'of', 'sentenced', 'in', 'rank', 'and', 'will', 'discharged', 'cpl', 'thomas', 'was', 'guilty', 'conspiracy', 'offenses', 'larceny', 'must', 'false', 'statements', '2006', 'iraq', 'were', 'charged', 'awad', '52', 'case', 'company', 'they', 'reported', 'roadside', 'patrol', 'residents', 'accuse', 'squad', 'sgt', 'lawrence', 'hutchins', 'from', 'shooting', 'look', 'american', 'troops', 'not', 'other', 'charges', 'changed', 'followed', 'told', 'result', 'done', 'wrong', 'attorney', 'said', 'truly', 'could', 'been', 'email', 'friend']",0.1016949152542373,0.23076923076923078,0.14117742812458026,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
