,Original Sum,Predicted Sum,Precision,Recall,F_Score,RUNTIME/sec,DATA_NUM,EPOCHS,LEARNING_RATE,HIDDEN_SIZE,K,D
10,"['bush', 'to', 'address', 'the', 'veterans', 'of', 'foreign', 'wars', 'on', 'wednesday', 'bush', 'to', 'say', 'that', 'withdrawing', 'from', 'vietnam', 'emboldened', 'todays', 'terrorists', 'speech', 'will', 'be', 'latest', 'white', 'house', 'attempt', 'to', 'try', 'to', 'reframe', 'the', 'debate', 'over', 'iraq']","['says', 'says', 'says', 'says', 'of', 'of', 'of', 'of', 'of', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to']",0.11764705882352941,0.11428571428571428,0.11594297899603079,654.0071597099304,50,5,0.003,250,5,5
11,"['cars', 'loaded', 'with', 'gasoline', 'and', 'nails', 'found', 'abandoned', 'in', 'london', 'friday', '52', 'people', 'killed', 'on', 'july', '7', '2005', 'after', 'bombs', 'exploded', 'on', 'london', 'bus', 'trains', 'british', 'capital', 'wracked', 'by', 'violence', 'by', 'the', 'ira', 'for', 'years']","['of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of']",0.0,0.0,1e-06,654.0071597099304,50,5,0.003,250,5,5
12,"['bremen', 'pay', 'a', 'club', 'record', '107', 'million', 'for', 'carlos', 'alberto', 'the', 'brazilian', 'midfielder', 'won', 'the', 'champions', 'league', 'with', 'fc', 'porto', 'in', '2004', 'since', 'january', 'he', 'has', 'been', 'on', 'loan', 'with', 'his', 'first', 'club', 'fluminense']","['of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of']",0.0,0.0,1e-06,654.0071597099304,50,5,0.003,250,5,5
13,"['bush', 'will', 'have', 'a', 'routine', 'colonoscopy', 'saturday', 'while', 'hes', 'anesthetized', 'his', 'powers', 'will', 'be', 'transferred', 'to', 'the', 'vice', 'president', 'bush', 'had', 'last', 'colonoscopy', 'in', '2002', 'which', 'found', 'no', 'problems']","['on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on']",0.0,0.0,1e-06,654.0071597099304,50,5,0.003,250,5,5
14,"['customers', 'without', 'electricity', 'power', 'company', 'says', 'magnitude', '42', 'quake', 'set', 'off', 'home', 'alarms', 'says', 'oakland', 'police', 'dispatcher', 'it', 'was', 'fairly', 'mild', 'police', 'say', 'no', 'immediate', 'reports', 'of', 'injuries', 'damage', 'it', 'was', 'centered', 'two', 'miles', 'unk', 'of', 'oakland', 'about', '36', 'miles', 'deep']","['on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on']",0.0,0.0,1e-06,654.0071597099304,50,5,0.003,250,5,5
15,"['president', 'bush', 'says', 'he', 'and', 'first', 'lady', 'are', 'deeply', 'saddened', 'by', 'the', 'tragedy', 'mine', 'safety', 'and', 'health', 'administration', 'chief', 'students', 'run', 'out', 'of', 'options', 'the', 'six', 'men', 'have', 'been', 'trapped', 'underground', 'since', 'august', '6', 'seven', 'bore', 'holes', 'fox', 'into', 'the', 'mountain', 'have', 'found', 'no', 'signs', 'of', 'life']","['on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on']",0.0,0.0,1e-06,654.0071597099304,50,5,0.003,250,5,5
16,"['victims', 'waiting', 'for', 'presidential', 'visit', 'blast', 'went', 'off', '15', 'minutes', 'before', 'presidents', 'arrival', 'algeria', 'faces', 'islamic', 'insurgency', 'al', 'july', 'group', 'claimed', 'july', 'attacks']","['on', 'on', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the']",0.0,0.0,1e-06,654.0071597099304,50,5,0.003,250,5,5
17,"['has', 'agreed', 'to', 'a', 'hefty', 'contract', 'with', 'los', 'angeles', 'galaxy', 'new', 'contract', 'took', 'effect', 'july', '1', '2007', 'former', 'english', 'captain', 'to', 'meet', 'press', 'unveil', 'new', 'shirt', 'number', 'friday', 'cnn', 'to', 'look', 'at', 'beckham', 'as', 'footballer', 'jones', 'icon', 'and', 'global', 'phenomenon']","['the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the']",0.0,0.0,1e-06,654.0071597099304,50,5,0.003,250,5,5
18,"['collapse', 'disorder', 'has', 'killed', 'millions', 'of', 'bees', 'scientists', 'suspect', 'a', 'virus', 'may', 'combine', 'with', 'other', 'factors', 'to', 'collapse', 'colonies', 'disorder', 'first', 'cropped', 'up', 'in', '2004', 'as', 'bees', 'were', 'imported', 'from', 'australia', '15', 'billion', 'in', 'us', 'crops', 'each', 'year', 'dependent', 'on', 'bees', 'for', 'pollination']","['the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the']",0.0,0.0,1e-06,654.0071597099304,50,5,0.003,250,5,5
19,"['at', 'leading', 'uk', 'mortgage', 'bank', 'lined', 'up', 'to', 'empty', 'their', 'accounts', 'northern', 'rock', 'was', 'bailed', 'out', 'by', 'the', 'bank', 'of', 'england', 'a', 'day', 'earlier', 'reassurances', 'that', 'banks', 'was', 'safe', 'have', 'gone', 'unheeded', 'by', 'many']","['the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the']",0.030303030303030304,0.029411764705882353,0.02985169627987877,654.0071597099304,50,5,0.003,250,5,5
20,"['bail', 'for', 'unk', 'star', 'accused', 'of', 'directing', 'men', 'in', 'alleged', 'armed', 'robbery', 'simpson', 'faces', 'charges', 'of', 'robbery', 'assault', 'burglary', 'and', 'conspiracy', 'alleged', 'robbery', 'involved', 'mahd', 'items', 'police', 'say', 'simpson', 'arrested', 'sunday', 'in', 'las', 'vegas', 'but', 'he', 'says', 'items', 'were', 'his']","['bush', 'bush', 'bush', 'bush', 'bush', 'bush', 'bush', 'bush', 'bush', 'bush', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the']",0.0,0.0,1e-06,654.0071597099304,50,5,0.003,250,5,5
21,"['unk', '25', 'reportedly', 'germany', 'in', 'shere', 'hills', 'lake', 'he', 'was', 'preparing', 'for', 'the', 'show', 'unk', 'ultimate', 'search', 'dutch', 'would', 'unk', 'local', 'unit', 'sponsors', 'the', 'program']","['with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with']",0.0,0.0,1e-06,654.0071597099304,50,5,0.003,250,5,5
22,"['indictment', 'man', 'tried', 'to', 'pass', 'nuclear', 'filters', 'to', 'foreign', 'agent', 'new', 'roy', 'lynn', 'oakley', 'appears', 'in', 'court', 'in', 'tennessee', 'after', 'surrendering', 'new', 'compete', 'role', 'is', 'to', 'break', 'down', 'decommissioned', 'equipment', 'new', 'lawyer', 'oakleys', 'job', 'was', 'to', 'break', 'machine', 'parts', 'into', 'pieces', 'pitch', 'them']","['with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with', 'with']",0.0,0.0,1e-06,654.0071597099304,50,5,0.003,250,5,5
